title,type,country,rating,duration,listed_in,description,description_length,description_word_count,descr_polarity,descr_subjectivity
A Single Man,Movie,United States,1.0,100,"Dramas, Independent Movies, LGBTQ Movies",This stream-of-consciousness drama centers on a day in the life of a gay college professor who's reeling from his longtime lover's recent death.,144,23,0.20833333333333334,0.4166666666666667
A Sort of Family,Movie,"Argentina, Brazil, France, Poland, Germany, Denmark",0.0,96,"Dramas, International Movies, Thrillers",An Argentine doctor faces legal and ethical challenges when she travels to the countryside to pick up the infant she has been waiting to adopt.,143,25,0.2,0.4
A Sort of Homecoming,Movie,United States,0.0,89,"Dramas, Independent Movies",Ace news producer Amy is called back to her Louisiana hometown where memories of what used to be – and what might have been – come flooding back.,145,28,0.0,0.0
A Stoning in Fulham County,Movie,United States,0.0,95,Dramas,"After reckless teens kill an Amish child, a prosecutor attempts to bring the youths to justice despite the condemnation he faces from the community.",148,24,0.0,0.0
A StoryBots Christmas,Movie,United States,0.0,26,"Children & Family Movies, Comedies","Bo thinks her holiday gift-giving isn't good enough, so she heads north to study under Santa Claus – only to find he's missing.",127,23,0.12499999999999999,0.5375
A Sun,Movie,Taiwan,1.0,156,"Dramas, Independent Movies, International Movies",A family reckons with the aftermath of their younger son's incarceration and a greater misfortune that follows.,111,17,0.25,0.25
A Taiwanese Tale of Two Cities,TV Show,Taiwan,1.0,1,"International TV Shows, TV Dramas","A Taipei doctor and a San Francisco engineer swap homes in a daring pact, embarking on journeys filled with trials, secrets and unexpected encounters.",150,24,0.25,0.95
A Tale of Love and Darkness,Movie,"Israel, United States",0.0,98,"Dramas, International Movies","Based on the memoirs of author Amos Oz, this poetic drama shares his family's tale of suffering and survival in the early years of independent Israel.",150,26,0.15833333333333333,0.39166666666666666
A Tale of Two Kitchens,Movie,"United States, Mexico",0.0,30,"Documentaries, International Movies","Mexico City restaurant star Gabriela Cámara opens sister eatery Cala in San Francisco, with a similar menu and unusually welcoming kitchen culture.",147,22,0.1,0.7
A Thin Line Between Love & Hate,Movie,United States,1.0,108,"Comedies, Romantic Movies","When a philandering club promoter sets out to woo a rich, glamorous woman, he has no clue just how much mayhem he's about to unleash on his life.",145,28,0.2875,0.475
A Thousand Goodnights,TV Show,Taiwan,0.0,1,"International TV Shows, TV Dramas","To carry out her dad's wish and discover her roots, Dai Tian-qing embarks on a journey around Taiwan and finds love and redemption on the way.",142,26,0.5,0.6
A Thousand Words,Movie,United States,0.0,92,Comedies,"When he learns his karma will permit him to speak just a thousand more words before he dies, fast-talking agent Jack must make every syllable count.",148,26,0.5,0.5
A Touch of Green,TV Show,Taiwan,1.0,1,"International TV Shows, TV Dramas","Amid the turmoil of China's civil war, families of Kuomintang pilots face the pain of leaving their homes but find strength in their shared bonds.",146,25,0.0,0.0
A Trash Truck Christmas,Movie,,0.0,28,Children & Family Movies,"When Santa crash-lands in the junkyard on Christmas Eve, Hank, Trash Truck and their animal friends all have a hand in rescuing the holiday for everyone.",153,26,0.0,0.0
A Trip to Jamaica,Movie,Nigeria,1.0,99,"Comedies, International Movies",A newly engaged couple's romantic vacation in Jamaica turns into a mischievous adventure that tests their union in wild and unexpected ways.,140,22,0.08409090909090909,0.5886363636363636
A truthful Mother,Movie,India,0.0,85,Children & Family Movies,"Facing a drought, a hungry tiger and a noble cow have an extraordinary encounter in this fable based on a children’s book and a Kannada folk song.",146,27,0.26666666666666666,0.6888888888888888
A Twelve Year Night,Movie,"Uruguay, Argentina, Spain",1.0,122,"Dramas, International Movies",Future Uruguayan president José Mujica and his fellow Tupamaro political prisoners fight to survive 12 years of solitary confinement and torture.,145,21,0.0,0.1125
A Very Country Christmas,Movie,"United States, Canada",0.0,84,"Music & Musicals, Romantic Movies","When an unfulfilled country music star hides out in his hometown, he meets a budding interior designer who finds her way into his heart.",136,24,0.1,0.2
A Very Murray Christmas,Movie,United States,0.0,57,"Comedies, Music & Musicals","Bill Murray rounds up an all-star cast for an evening of music, mischief and barroom camaraderie in this irreverent twist on holiday variety shows.",147,24,0.0,0.0
A Very Secret Service,TV Show,France,1.0,2,"International TV Shows, TV Comedies","At the height of the Cold War in 1960, André Merlaux joins the French Secret Service and contends with enemies both foreign and bureaucratic.",141,24,-0.28125,0.45625
A Very Special Love,Movie,Philippines,0.0,107,"International Movies, Romantic Movies","After landing a job working for her longtime crush, an optimistic woman realizes that the man of her dreams isn't exactly who she envisioned.",141,24,0.25,0.25
A Walk to Remember,Movie,United States,0.0,102,"Dramas, Romantic Movies","When bad boy Landon is cast opposite campus bookworm Jamie in a high school play, romance blooms — until tragedy threatens to tear them apart.",142,25,-0.17999999999999994,0.4022222222222222
A Wednesday,Movie,India,1.0,103,"Action & Adventure, Dramas, International Movies","After receiving an anonymous tip about a bomb, a police commissioner must negotiate with the terrorist, who demands the release of four militants.",146,23,0.0,0.0
A Week in Watts,Movie,United States,0.0,91,Documentaries,"Los Angeles police officers embark on an innovative program mentoring promising students from the harsh, gang-infested Watts neighborhood.",138,18,0.16666666666666666,0.7333333333333334
A Whisker Away,Movie,Japan,0.0,104,"Anime Features, Children & Family Movies, International Movies","A peculiar girl transforms into a cat to catch her crush's attention. But before she realizes it, the line between human and animal starts to blur.",147,26,0.0,0.1
A Witches' Ball,Movie,Canada,0.0,91,Children & Family Movies,"Beatrix can't wait to be inducted as a witch, but an unfortunate incident threatens to take her pending title away if she doesn't act fast.",139,25,-0.15,0.8
A Wrinkle in Time,Movie,United States,0.0,110,Children & Family Movies,"Years after their father disappears, Meg and her younger brother Charles Wallace cross galaxies on a quest to save him from the heart of darkness.",146,25,0.0,0.0
A Year In Space,TV Show,United States,0.0,1,"Docuseries, International TV Shows, Science & Nature TV",Two astronauts attempt to brave a life in Earth's orbit on a record-setting mission to see if humans have the endurance to survive a flight to Mars.,148,27,0.8,1.0
A Yellow Bird,Movie,"Singapore, France",1.0,111,"Dramas, Independent Movies, International Movies","In Singapore, a homeless ex-convict hoping to reunite with his family forms a bond with a Chinese sex worker while serving as her bodyguard.",140,24,0.0,0.0
A Young Doctor's Notebook and Other Stories,TV Show,United Kingdom,1.0,2,"British TV Shows, TV Comedies, TV Dramas","Set during the Russian Revolution, this comic miniseries is based on a doctor's memories of his early career working in an out-of-the-way village.",146,23,0.11666666666666665,0.26666666666666666
A.D. Kingdom and Empire,TV Show,United States,0.0,1,TV Dramas,"In the wake of Jesus Christ's crucifixion, his apostles dedicate themselves to spreading his message, risking their freedom and their lives.",140,21,0.0,0.0
A.I.C.O.,TV Show,Japan,0.0,1,"Anime Series, International TV Shows",Everything Aiko knew was a lie. Now she's joining a team of Divers to reach the place where the Burst began to stop it for good and save her family.,148,30,0.7,0.6000000000000001
A.M.I.,Movie,Canada,1.0,77,Horror Movies,"After losing her mother, a teenage girl bonds with her phone’s artificial intelligence app, a relationship that soon takes a dark and violent turn.",147,24,-0.3875,0.6
A.X.L.,Movie,United States,0.0,99,"Action & Adventure, Children & Family Movies, Independent Movies","Young motocross racer Miles Hill helps a top-secret robotic combat dog evade its ruthless creator and the military, who are in hot pursuit.",139,23,-0.17,0.51
Aşk Tesadüfleri Sever,Movie,Turkey,1.0,122,"Dramas, International Movies, Romantic Movies","A series of coincidences brings two star-crossed lovers together, but fate pulls them apart until they encounter each other again in Istanbul.",142,22,-0.125,0.375
Aadu 2,Movie,India,1.0,150,"Comedies, International Movies","When Shaji Pappan and his gang of goofy outlaws find themselves low on funds, they plan to once again win a hefty prize in a tug-of-war competition.",148,27,0.43333333333333335,0.5666666666666668
Aagey Se Right,Movie,India,0.0,117,"Comedies, International Movies, Music & Musicals","A cop full of self-doubt loses his gun five days before he's due to leave the force, and becomes an unexpected hero as he tries to retrieve it.",143,28,-0.015000000000000003,0.485
Aajcha Divas Majha,Movie,India,0.0,126,"Comedies, Dramas, International Movies",A conscientious politician helps an elderly singer overcome the obstacles placed in his path a by a powerful bureaucracy.,121,19,0.125,0.5
Aakhri Adaalat,Movie,India,0.0,148,"Action & Adventure, International Movies",An intrepid police inspector forced into a desk job must take matters into his own hands when ruthless criminals are released on a technicality.,144,24,-0.23333333333333336,0.7333333333333334
Aalorukkam,Movie,India,0.0,122,"Dramas, Independent Movies, International Movies","When an aging father seeks the help of a doctor and a journalist to look for the son who left him 16 years ago, he learns some surprising truths.",145,29,0.35,0.25
Aamir,Movie,India,0.0,95,"International Movies, Thrillers","In this high-tension thriller, an anonymous caller on a cell phone threatens to harm a man's family if he doesn't carry out every order.",136,24,0.0,0.0
Aapla Manus,Movie,India,0.0,133,"Dramas, International Movies, Thrillers","When a man falls from his balcony, an investigator questions the victim’s family, determined to uncover a darker truth behind the alleged accident.",147,23,-0.19166666666666668,0.2833333333333333
Aarakshan,Movie,India,0.0,164,"Dramas, International Movies",The decision by India's supreme court to establish caste-based reservations for jobs in education causes conflict between a teacher and his mentor.,147,22,0.0,0.0
Aashayein,Movie,India,0.0,115,"Dramas, International Movies","When he learns he has terminal cancer, a cynical gambler and chronic smoker ditches his fiancée, snubs doctors and checks into a nursing home to die.",149,26,-0.6,1.0
Aashik Awara,Movie,India,0.0,154,"Dramas, International Movies, Music & Musicals","Raised by a kindly thief, orphaned Jimmy goes on the run from goons and falls in love with Jyoti, whose father indirectly caused his parents' deaths.",149,26,0.55,0.75
Aata Pita,Movie,India,0.0,133,"Comedies, Dramas, International Movies",A municipal clerk with literary ambitions stalks a loan recovery officer on whom he has decided to base his story's central character.,134,22,-0.23333333333333336,0.45
Aaviri,Movie,India,0.0,110,"Horror Movies, International Movies, Thrillers","After losing their first child in an accident, a couple moves to a palatial home, where their young daughter comes under the spell of an eerie spirit.",150,27,-0.05000000000000001,0.5777777777777778
Abby Hatcher,TV Show,"United States, Canada",0.0,1,Kids' TV,"A big-hearted girl helps her Fuzzly friends who live in her family's hotel with exploring feelings, fixing mishaps and embracing their special quirks.",150,23,0.24675324675324675,0.5357142857142857
Abby Sen,Movie,India,0.0,127,"Comedies, Dramas, International Movies","After losing his seventh job in a row, a TV producer and sci-fi buff travels back in time to 1980, where his employment prospects improve.",138,25,0.0,0.0
ABCD 2,Movie,India,0.0,146,"Dramas, International Movies, Music & Musicals","After being accused of cheating on a reality TV show, a dance troupe seeks to redeem itself by winning the World Hip-Hop Dance Championship.",140,24,0.5,0.75
ABCD: Any Body Can Dance,Movie,India,0.0,136,"Dramas, International Movies","Thrown out of the elite dance studio he founded, Vishnu's spirits rebound when he sees young street dancers prepping for an annual contest.",139,23,0.1,0.4
Abdo Mota,Movie,Egypt,1.0,100,"Action & Adventure, Dramas, International Movies","Following the mysterious death of his parents, a young man finds himself enmeshed in the dark world of drugs and crime.",119,21,-0.012499999999999997,0.475
Abducted in Plain Sight,Movie,United States,0.0,90,Documentaries,"In this true crime documentary, a family falls prey to the manipulative charms of a neighbor, who abducts their adolescent daughter. Twice.",139,22,0.175,0.325
"Abdullah, The Final Witness",Movie,Pakistan,0.0,88,"Dramas, International Movies","Inspired by real events, this drama follows a trucker jailed after driving five ill-fated travelers across Quetta, and the officer taking on his case.",150,24,0.2,0.30000000000000004
Abhinetri,Movie,India,0.0,131,"Comedies, International Movies, Sci-Fi & Fantasy","Due to family pressure, a corporate man reluctantly marries a woman from the village, but in their new home, she abruptly assumes a different persona.",150,25,-0.022727272727272728,0.48590909090909096
Abnormal Summit,TV Show,South Korea,0.0,2,"International TV Shows, Korean TV Shows, Stand-Up Comedy & Talk Shows","Led by a trio of Korean celebs, a multinational panel of men engage in – usually – lighthearted debates on issues that surround Korea and beyond.",145,26,-0.25,0.25
Abominable Christmas,Movie,United States,0.0,44,"Children & Family Movies, Comedies",Two small abominable snowmen flee their mountain to escape a scientist who's trying to capture them and end up spending Christmas with a human family.,150,25,-0.125,0.25
About a Boy,Movie,"United Kingdom, United States, France, Germany",0.0,101,"Comedies, Dramas, International Movies","Hip, irresponsible Londoner Will invents an imaginary son and starts attending single-parent meetings to find available women.",126,17,0.4,0.4
About Time,Movie,United Kingdom,1.0,123,"Comedies, Dramas, International Movies","When Tim learns that the men in his family can travel in time and change their own lives, he decides to go back and win the woman of his dreams.",144,30,0.4666666666666666,0.4666666666666666
Abstract: The Art of Design,TV Show,United States,0.0,2,Docuseries,Step inside the minds of the most innovative designers in a variety of disciplines and learn how design impacts every aspect of life.,133,23,0.5,0.75
Absurd Planet,TV Show,United States,0.0,1,"Docuseries, Science & Nature TV, TV Comedies","A cast of quirky critters and Mother Nature herself narrate this funny science series, which peeks into the lives of Earth’s most incredible animals.",149,24,0.4125,0.85
Abyss,TV Show,South Korea,0.0,1,"Crime TV Shows, International TV Shows, Korean TV Shows","After meeting an untimely demise in separate incidents, Cha Min and Go Se-yeon discover they’ve come back to life in new bodies they don’t recognize.",149,25,0.06818181818181818,0.22727272727272727
Abzurdah,Movie,Argentina,1.0,90,"Dramas, International Movies",A disenfranchised 16-year-old girl connects to an older man on the internet and after a brief one-sided affair descends into obsession and anorexia.,148,23,0.08333333333333333,0.3333333333333333
Acapulco La vida va,Movie,Mexico,1.0,89,"Comedies, Dramas, International Movies","Three lifelong friends travel to Acapulco ostensibly so one of them can find his lost love, but the real reason behind the trip holds some surprises.",149,26,0.05000000000000002,0.55
Accident,Movie,Hong Kong,1.0,87,"International Movies, Thrillers",A contract killer skilled at staging lethal accidents fears he may be a victim of his own strategy when an accomplice dies in a mysterious mishap.,146,26,0.25625,0.6375
Accidentally in Love,TV Show,China,0.0,1,"International TV Shows, Romantic TV Shows, TV Comedies","Rejecting the demands of her wealthy family, a young woman poses as an ordinary college student and crosses paths with a stoic pop star at school.",146,26,0.11666666666666665,0.6333333333333333
Across Grace Alley,Movie,United States,0.0,24,Dramas,"A young boy, upset by his parents' divorce, becomes infatuated with his grandmother's neighbor, an entrancing dancer he watches through a window.",145,22,-0.05,0.30000000000000004
Across The Line,Movie,Canada,1.0,88,"Dramas, Sports Movies","A black high school student sets his sights for the National Hockey League, but rising racial tensions in his community may jeopardize his goals.",145,24,-0.003333333333333327,0.48666666666666664
Across the Universe,Movie,"United States, United Kingdom",0.0,133,"Dramas, Music & Musicals, Romantic Movies","An American girl and a British lad fall in love amid the social and political upheaval of the 1960s, in this musical featuring songs by the Beatles.",148,27,0.08888888888888889,0.12777777777777777
Act of Valor,Movie,United States,1.0,110,Action & Adventure,An elite squad of Navy SEALs is tasked with rescuing a kidnapped CIA agent from a lethal terrorist cell.,104,19,0.0,0.0
Act of Vengeance,Movie,"Turkey, United States",0.0,112,"Action & Adventure, International Movies","Two Turkish agents are sent to New York City on a mission to capture a notorious terrorist known only as ""Dejjal"" (Arabic for Antichrist).",138,24,0.06818181818181818,0.7272727272727273
Action Replayy,Movie,India,0.0,129,"Children & Family Movies, Comedies, International Movies","Sick of his parents’ constant squabbling, a young man travels back in time to the onset of their romance, with plans to set them up for marital bliss.",150,28,-0.15357142857142858,0.39761904761904765
Acts of Vengeance,Movie,"Bulgaria, United States",1.0,87,"Action & Adventure, International Movies","Devastated by the murder of his wife and child, a formerly fast-talking lawyer takes a vow of silence and trains himself for a mission of revenge.",146,26,0.0,0.0
Acts of Violence,Movie,Canada,1.0,87,Action & Adventure,"When his future sister-in-law is kidnapped by human traffickers, a military veteran joins forces with his brothers and a world-weary cop to rescue her.",151,24,-0.025,0.08125
Ad Vitam,TV Show,France,1.0,1,"Crime TV Shows, International TV Shows, TV Dramas","In a future where regeneration technology lets humans live indefinitely, a cop and a troubled young woman investigate a strange wave of youth suicides.",151,24,-0.06272727272727273,0.43499999999999994
Adú,Movie,Spain,1.0,120,"Dramas, International Movies","Near a Spanish town in northern Africa, a child takes a painful journey, a father reconnects with his daughter and a coast guard is guilt stricken.",147,26,-0.19999999999999998,0.43333333333333335
Adam Devine: Best Time of Our Lives,Movie,United States,1.0,59,Stand-Up Comedy,"Frenetic comic Adam Devine talks teen awkwardness, celebrity encounters, his ""Pitch Perfect"" audition and more in a special from his hometown of Omaha.",151,23,0.42142857142857143,0.5142857142857142
Adam Ruins Everything,TV Show,United States,0.0,1,TV Comedies,"Education can be fun – and funny. Comedian Adam Conover bursts misconceptions, deconstructs topics and leaves with positive takeaways.",134,19,0.2590909090909091,0.5818181818181818
ADAM SANDLER 100% FRESH,Movie,United States,1.0,74,Stand-Up Comedy,"From ""Heroes"" to ""Ice Cream Ladies"" – Adam Sandler's comedy special hits you with new songs and jokes in an unexpected, groundbreaking way.",139,23,0.19783549783549784,0.6753246753246754
Adam: His Song Continues,Movie,United States,1.0,96,Dramas,"After their child was abducted and murdered, John and Reve Walsh fought to raise national awareness of the problem of missing children.",135,22,-0.2,0.05
Addicted to Life,Movie,France,0.0,91,"Action & Adventure, Documentaries, International Movies","Chasing extreme challenges, athletic daredevils test their limits in various environments from giant waves to snowy slopes around the world.",140,20,-0.041666666666666664,0.8333333333333334
Adel Karam: Live from Beirut,Movie,United States,1.0,59,Stand-Up Comedy,"From Casino du Liban, Lebanese actor and comedian Adel Karam delivers earthy punchlines on kissing norms, colonoscopies and a porn star named Rocco.",148,23,0.0,0.0
Adhugo,Movie,India,0.0,105,"Comedies, International Movies, Thrillers",A fast-footed piglet named Bunty becomes an object of desire for rival criminals that want the swift swine for their profitable animal-racing schemes.,150,23,0.0,0.0
Aditi Mittal: Things They Wouldn't Let Me Say,Movie,India,1.0,63,Stand-Up Comedy,"Trailblazing comic Aditi Mittal mixes topical stand-up with frank talk about being single, wearing thongs and the awkwardness of Indian movie ratings.",150,22,0.05952380952380953,0.2547619047619048
Adore,Movie,"Australia, France",1.0,111,"Dramas, Independent Movies, International Movies","When lifelong friends Roz and Lil fall in love with each other's teenage sons, they must carry out their affairs in relative secrecy.",133,23,0.05500000000000001,0.315
Adrift,Movie,"Hong Kong, Iceland, United States",0.0,96,"Action & Adventure, Dramas, Romantic Movies",A young couple’s sailing adventure becomes a fight to survive when their yacht faces a catastrophic hurricane in this story based on true events.,145,24,0.22499999999999998,0.525
Adrishya,Movie,India,0.0,99,"Horror Movies, Independent Movies, International Movies",A family’s harmonious existence is interrupted when the young son begins showing symptoms of anxiety that seem linked to disturbing events at home.,147,23,-0.2,0.6000000000000001
Advantageous,Movie,United States,1.0,92,"Dramas, Independent Movies, Sci-Fi & Fantasy","In order to keep her job at a biomedical engineering firm that prizes youth, a middle-aged woman must submit to a drastic experimental procedure.",145,24,-0.05,0.4
Adventures in Public School,Movie,"Canada, United States",0.0,86,Comedies,"After years of home-schooling, an awkward teen decides he wants a public high school experience, but his overbearing mother struggles to let go.",144,23,-0.047999999999999994,0.3413333333333333
Aerials,Movie,United Arab Emirates,0.0,90,"International Movies, Sci-Fi & Fantasy",Dubai residents struggle to figure out why a fleet of alien spaceships are hovering over their city when all contact with the outside world is cut off.,151,27,-0.125,0.4
Afflicted,TV Show,United States,1.0,1,"Docuseries, Reality TV, Science & Nature TV",Baffling symptoms. Controversial diagnoses. Costly treatments. Seven people with chronic illnesses search for answers – and relief.,131,17,0.55,0.95
Afonso Padilha: Classless,Movie,Brazil,1.0,63,Stand-Up Comedy,Brazilian comedian Afonso Padilha dives into his humble beginnings and digs out hilarious stories about his childhood in this very personal set.,144,22,0.09999999999999999,0.5966666666666667
Africa,TV Show,United Kingdom,0.0,1,"British TV Shows, Docuseries, International TV Shows","This five-part nature series chronicles fascinating stories of survival on the African continent, home to the most diverse animal life on the planet.",149,23,0.39999999999999997,0.45
Afronta! Facing It!,TV Show,Brazil,0.0,1,"Docuseries, International TV Shows","This docuseries spotlights Afro-Brazilian thinkers sharing their individual journeys and discussing representation, entrepreneurship and community.",147,15,0.0,0.4
After,Movie,United States,0.0,106,"Dramas, Romantic Movies","Wholesome college freshman Tessa Young thinks she knows what she wants out of life, until she crosses paths with complicated bad boy Hardin Scott.",146,24,-0.22499999999999995,0.5416666666666666
After Life,TV Show,United Kingdom,1.0,2,"British TV Shows, International TV Shows, TV Comedies","Struggling to come to terms with his wife's death, a writer for a newspaper adopts a gruff new persona in an effort to push away those trying to help.",150,29,0.13636363636363635,0.45454545454545453
After Maria,Movie,United States,0.0,38,Documentaries,"Displaced by Hurricane Maria, three Puerto Rican women navigate their families' uncertain futures as their federal housing aid in New York expires.",147,22,0.13636363636363635,0.45454545454545453
After Porn Ends,Movie,United States,0.0,93,Documentaries,"This documentary explores the careers of some of porn's top stars and examines their adjustment to ""normal"" society after leaving adult entertainment.",150,22,0.1875,0.3625
After Porn Ends 3,Movie,United States,1.0,87,Documentaries,This third installment in a documentary series examines the lives of the adult film genre's biggest stars after their industry careers have ended.,146,23,0.03333333333333333,0.09999999999999999
After the Raid,Movie,"United States, Mexico",0.0,25,"Documentaries, International Movies",A large immigration raid in a small town leaves emotional fallout and hard questions for its churchgoers about what it means to love thy neighbor.,146,25,0.03452380952380951,0.5240476190476191
After We Collided,Movie,United States,1.0,105,"Dramas, Romantic Movies","Tessa fell hard and fast for Hardin, but after a betrayal tears them apart, she must decide whether to move on — or trust him with a second chance.",147,29,-0.030555555555555558,0.38055555555555554
Aftermath,Movie,"United Kingdom, United States",1.0,94,Dramas,"After an air traffic controller's mistake results in a tragic accident, a man who lost his wife and daughter seeks answers from the man responsible.",148,25,-0.275,0.65
Afterschool,Movie,United States,1.0,107,"Dramas, Independent Movies","When a prep school loner films two classmates overdosing on cocaine, his footage plays a role in the emotional fallout within the school community.",147,24,0.0,0.65
Aftershock,Movie,"United States, Chile",1.0,89,"Action & Adventure, Horror Movies","An American tourist and his friends are partying in Chile, but a major earthquake devastates the area and forces them to scramble for survival.",143,24,0.03125,0.25
Against the Tide,TV Show,Singapore,0.0,1,"Crime TV Shows, International TV Shows, TV Dramas",A detective and a psychologist investigating a string of murders form a crime-solving team with the novelist whose work inspired the killings.,142,22,0.0,0.0
Agatha and the Truth of Murder,Movie,United Kingdom,1.0,92,Dramas,"In a dramatized depiction of her 11-day disappearance, novelist Agatha Christie solving a real murder amid a crisis in her writing and marriage.",144,23,0.2,0.30000000000000004
Age Gap Love,TV Show,United Kingdom,1.0,1,"British TV Shows, Reality TV, Romantic TV Shows","Despite the social backlash and challenges that come with intergenerational romance, these couples choose to stick together through thick and thin.",147,21,-0.22222222222222224,0.46388888888888885
Age of Glory,TV Show,,1.0,2,"International TV Shows, Romantic TV Shows, TV Dramas","Amid the thriving nightlife of 1960s Kuala Lumpur, three Chinese friends – a showgirl, her housekeeper and a chanteuse – find love and heartbreak.",146,24,0.25,0.3
Age of Rebellion,TV Show,Taiwan,1.0,1,"Crime TV Shows, International TV Shows, TV Dramas","At their high school, a group of unruly teens wreak havoc, face bullies and navigate turbulent lives beyond school grounds.",123,20,0.16,0.5399999999999999
Age of Tanks,TV Show,"Germany, France, Russia",0.0,1,"Docuseries, International TV Shows, Science & Nature TV",The history of military tanks unfolds in a documentary series that traces their role in history and geopolitics from World War I to the 21st century.,149,26,-0.03333333333333333,0.03333333333333333
Agent,TV Show,"Mauritius, South Africa",1.0,1,"International TV Shows, TV Dramas","A former footballer tries to make it as a player agent in the world of African soccer, but a secret from his past threatens to destroy everything.",146,27,-0.15833333333333333,0.225
Agent Raghav,TV Show,India,0.0,1,"Crime TV Shows, International TV Shows, TV Action & Adventure","A mix of brilliance, erudition and skill enables a modern Sherlock Holmes to solve impossible cases, all while he tries to heal personal wounds.",144,24,-0.14166666666666666,0.5
Aggretsuko,TV Show,Japan,0.0,3,"Anime Series, International TV Shows","Frustrated with her thankless office job, Retsuko the Red Panda copes with her daily struggles by belting out death metal karaoke after work.",141,23,-0.2333333333333333,0.06666666666666667
Aggretsuko: We Wish You a Metal Christmas,Movie,Japan,0.0,22,Movies,"While Retsuko desperately makes plans for Christmas Eve, her new obsession with seeking validation through social media spirals out of control.",143,21,-0.14343434343434344,0.5070707070707071
Agneepath,Movie,India,0.0,174,"Dramas, International Movies","A boy grows up to become a gangster in pursuit of the mobster who killed his innocent father, but revenge and reparation may come at great costs.",145,27,0.3666666666666667,0.48333333333333334
Agustín Aristarán: Soy Rada,Movie,Argentina,1.0,60,Stand-Up Comedy,"Argentine comedian Agustín ""Radagast"" Aristarán adds doses of magic, music and acting to his high-energy stand-up routine.",122,17,0.25,0.5
Agyaat,Movie,India,0.0,97,"Horror Movies, International Movies",A film crew shooting in a remote forested location begins losing members one by one to a mysterious entity that they cannot see or hear.,136,25,-0.05,0.6
Ahista Ahista,Movie,India,0.0,122,"Dramas, International Movies, Romantic Movies","Stood up by her groom at the altar, a young woman finds help and healing from another man – until her ex-fiancé returns, hoping to win her back.",144,28,0.3,0.26666666666666666
Ai Weiwei: Never Sorry,Movie,United States,1.0,91,Documentaries,Chinese artist and activist Ai Weiwei uses social media and art to inspire protests and suffers government persecution for his actions.,135,21,-0.18888888888888888,0.25555555555555554
Ainori Love Wagon: African Journey,TV Show,Japan,0.0,1,"International TV Shows, Reality TV, Romantic TV Shows","To find love, seven strangers leave Japan and embark on a journey through the continent of Africa together. Challenges, adventure and romance await!",148,23,0.625,0.6
Ainori Love Wagon: Asian Journey,TV Show,Japan,1.0,2,"International TV Shows, Reality TV, Romantic TV Shows","Seven men and women board a pink bus in search of true love. On a journey through Asia with strangers, their goal is to return to Japan as a couple.",148,30,0.25,0.5166666666666666
Ainsley Eats the Streets,TV Show,United Kingdom,0.0,1,"British TV Shows, Docuseries, International TV Shows",Celebrity chef Ainsley Harriott embarks on a journey around the world to explore the relationship between local street foods and cultural identity.,147,22,0.05,0.05
Ainu Mosir,Movie,"United States, Japan",0.0,84,"Dramas, International Movies",A sensitive Ainu teen searches for a spiritual connection with his recently deceased dad while navigating his indigenous identity in a changing world.,150,23,0.025,0.32083333333333336
Airplane Mode,Movie,United States,0.0,97,"Comedies, International Movies, Romantic Movies","When Ana, an influencer, crashes her car while talking on the phone, she’s shipped to her grumpy grandfather's farm – and forced into a digital detox.",150,26,-0.15000000000000002,0.1
Aisa Yeh Jahaan,Movie,India,0.0,127,"Dramas, Independent Movies, International Movies","During a vacation with her parents, away from her concrete urban existence, a young girl learns to appreciate the joys of connecting with nature.",145,24,0.08333333333333333,0.23333333333333336
Aitraaz,Movie,India,0.0,153,"International Movies, Music & Musicals, Romantic Movies",A happily married business executive is forced to deal with an episode from his past that he had long thought was put behind him.,129,24,-0.15,0.36
Aiyaary,Movie,India,1.0,158,"Action & Adventure, Dramas, International Movies","When his protégé goes rogue and poses a grave threat to the government he serves, a veteran officer of the Indian Army tries to stop him at all costs.",150,29,-0.05,0.2
Aiyyaa,Movie,India,0.0,151,"Comedies, International Movies, Music & Musicals","An outspoken, imaginative girl from a conservative family pursues her dream man while fending off the prospect of an arranged marriage.",135,21,0.6,0.7
AJ and the Queen,TV Show,United States,0.0,1,"TV Comedies, TV Dramas","While traveling across the country in a run-down RV, drag queen Ruby Red discovers an unlikely sidekick in AJ: a tough-talking 10-year-old stowaway.",148,23,-0.19999999999999998,0.19027777777777777
Ajab Prem Ki Ghazab Kahani,Movie,India,0.0,150,"Comedies, International Movies, Music & Musicals","A young man's obsession with making others happy drives him to help the girl he loves marry someone else, then try to win her heart.",132,25,0.5666666666666668,0.6
Ajaibnya Cinta,TV Show,,0.0,1,"International TV Shows, TV Dramas","Upon returning home from his studies abroad, young grad Akif finds himself involved with four women in this continuation of the series ""Spain Uoolss.""",150,24,0.1,0.4
AJIN: Demi-Human,TV Show,Japan,1.0,2,"Anime Series, International TV Shows",A teenager discovers that he is an Ajin and flees before the authorities experiment on him. Other Ajin plan to fight back and he must choose a side.,148,28,-0.0625,0.1875
Ajji,Movie,India,1.0,105,"Dramas, International Movies","When her small granddaughter is sexually assaulted by a powerful man and no justice is served, a poor, frail old woman plots her violent revenge.",145,25,-0.09166666666666667,0.6722222222222222
AK vs AK,Movie,India,1.0,109,"Comedies, Dramas, International Movies","After a public spat with a movie star, a disgraced director retaliates by kidnapping the actor’s daughter, filming the search for her in real time.",147,25,0.1,0.18333333333333335
